company,rate,amount,id,year,state
Other,5.69,300,1780,2013,Colorado
Other,2.47,300,47-0376012,2013,
Other,1.76,300,21699,2013,California
Other,,300,47-0376012,2013,
Other,,300,68-0151632,2013,California
Wells Fargo,,300,451965,2013,California
Other,,300,7505400005,2013,Oregon
Other,,300,828651,2013,Wyoming
Other,,300,617677,2013,California
Other,,300,471809999,2013,California
Other,,300,47-0376012,2013,
Other,,299,30788,2013,Montana
Other,,299,77-0556943,2013,California
Other,,299,471809999,2013,California
Wells Fargo,,299,451965,2013,California
Other,,299,32489,2013,Oregon
Other,,299,143662,2013,California
Other,,299,22-3554558,2013,Oregon
Other,,299,22-3554558,2013,California
Other,1.8,298,8663,2013,Tennessee
Other,,298,95-2960716,2013,California
Other,,298,471809999,2013,Washington
Other,,298,2317700005,2013,Colorado
Other,,297,91-2006136,2013,Oregon
Other,1.67,296,22-3554558,2013,California
Other,,296,471809999,2013,Washington
Other,,296,22-3554558,2013,California
Wells Fargo,,296,451965,2013,California
Wells Fargo,,296,451965,2013,Colorado
Other,,296,14334,2013,Missouri
Other,1.97,295,7516800003,2013,California
Other,1.63,295,471809999,2013,California
Other,1.56,295,471809999,2013,California
Other,1.51,295,6443809990,2013,California
Wells Fargo,,295,451965,2013,California
Other,,295,32489,2013,Oregon
Other,,295,33-0419992,2013,California
Other,,294,32489,2013,Washington
Wells Fargo,,294,451965,2013,California
Other,1.9,293,68-0151632,2013,California
Other,1.94,292,21699,2013,California
Other,,292,04-3660901,2013,Washington
Other,,292,91-1841798,2013,Oregon
Other,,292,339858,2013,Colorado
Other,,292,852320,2013,Virginia
Other,,290,22-3554558,2013,California
Wells Fargo,,290,451965,2013,Oregon
Other,,290,804963,2013,Oregon
Other,,290,47-0376012,2013,
Other,,289,417626,2013,West Virginia
Other,,289,143662,2013,Oregon
Other,2.36,288,21699,2013,California
Other,1.83,288,21699,2013,California
Other,,288,22-3554558,2013,California
Other,,288,52-2321476,2013,Oregon
Other,,288,91-2006136,2013,Idaho
Other,,288,32489,2013,Washington
Wells Fargo,,286,451965,2013,Washington
Other,,286,2149009991,2013,Oregon
Other,,285,656377,2013,Washington
Other,,285,504713,2013,Texas
Other,,285,143662,2013,Oregon
Other,,285,817824,2013,Washington
Other,,285,20-1091645,2013,South Dakota
Wells Fargo,,285,451965,2013,California
Other,,285,471809999,2013,California
Other,2.64,284,21699,2013,California
Other,,284,28489,2013,Washington
Other,,284,22-3554558,2013,Washington
Other,,284,91-1841798,2013,Oregon
Other,,284,22-3554558,2013,Oregon
Other,,283,32489,2013,Oregon
Wells Fargo,,282,451965,2013,Washington
Other,2.26,280,21699,2013,California
Other,1.96,280,3956,2013,Washington
Other,,280,32489,2013,Washington
Wells Fargo,,280,451965,2013,California
Other,,280,8576,2013,Missouri
Other,,280,471809999,2013,California
Other,,280,471809999,2013,California
Other,,280,143662,2013,Oregon
Wells Fargo,,280,451965,2013,California
Other,1.78,279,22-3554558,2013,California
Other,1.76,279,21699,2013,California
Other,,279,2149009991,2013,Washington
Other,,279,47-0933090,2013,Washington
Other,,279,143662,2013,Oregon
Other,,279,659855,2013,Wyoming
Wells Fargo,,278,451965,2013,Oregon
Other,,278,143662,2013,Oregon
Other,2.25,276,20-1091645,2013,Wyoming
Other,,276,339858,2013,Colorado
Other,,276,22-3554558,2013,Oregon
Wells Fargo,,276,451965,2013,Wyoming
Wells Fargo,,276,451965,2013,California
Other,,276,28489,2013,Washington
Other,2.11,275,75-2585326,2013,Washington
Other,,275,22-3554558,2013,Washington
Other,,275,47-0376012,2013,Iowa
Other,,275,7976700006,2013,Nevada
Other,,275,47-0376012,2013,Iowa
Other,,275,68-0309242,2013,California
Other,,275,12067,2013,California
Other,,275,68-0151632,2013,Nevada
Other,,275,143662,2013,Oregon
Other,,275,47-0376012,2013,Wyoming
Other,,275,47-0376012,2013,South Dakota
Other,,275,143662,2013,Oregon
Wells Fargo,,275,451965,2013,Washington
Wells Fargo,,274,451965,2013,California
Wells Fargo,,274,451965,2013,Washington
Wells Fargo,,274,451965,2013,California
Other,,274,617677,2013,Wyoming
Wells Fargo,,273,451965,2013,Colorado
Other,,273,30788,2013,Washington
Other,,273,504713,2013,Washington
Other,,272,68-0309242,2013,Washington
Wells Fargo,,271,451965,2013,Pennsylvania
Other,,271,471809999,2013,California
Other,,271,471809999,2013,Washington
Other,,271,63-1052225,2013,Louisiana
Other,2.58,270,16191,2013,Montana
Other,2.25,270,143662,2013,California
Other,1.57,270,143662,2013,Oregon
Wells Fargo,,270,451965,2013,Washington
Other,,270,11570,2013,Colorado
Other,,270,22-3554558,2013,Washington
Wells Fargo,,270,451965,2013,Washington
Wells Fargo,,270,451965,2013,Washington
Other,,270,504713,2013,California
Other,,270,143662,2013,California
Other,,270,143662,2013,Oregon
Other,,270,2317700005,2013,California
Other,,270,143662,2013,Washington
Other,,270,471809999,2013,California
Other,2.52,269,41-1956286,2013,Minnesota
Other,,269,804963,2013,Colorado
Wells Fargo,,269,451965,2013,California
Other,,269,20-1091645,2013,Wyoming
Other,1.95,268,22-3554558,2013,California
Other,1.86,268,95-2960716,2013,Oregon
Other,1.51,268,2149009991,2013,Washington
Wells Fargo,,268,451965,2013,Nevada
Other,,268,84-1564935,2013,California
Other,,268,22-3554558,2013,Oregon
Wells Fargo,,268,451965,2013,California
Other,1.58,267,99-0021107,2013,Washington
Other,,267,817824,2013,California
Other,1.9,266,21699,2013,California
Other,,266,976226,2013,Virginia
Other,,266,60042,2013,Washington
Other,,266,32489,2013,Washington
Other,,266,26-4599244,2013,California
Other,,266,91-2006136,2013,Oregon
Other,1.82,265,20-8745846,2013,Oregon
Other,1.65,265,15219,2013,North Dakota
Wells Fargo,,265,451965,2013,California
Other,,265,22-3554558,2013,California
Wells Fargo,,265,451965,2013,Colorado
Wells Fargo,,265,451965,2013,Colorado
Other,,265,706164,2013,California
Other,,265,143662,2013,Oregon
Other,,265,32158,2013,Washington
Other,,264,471809999,2013,Washington
Other,,264,91-1913382,2013,Washington
Wells Fargo,,264,451965,2013,California
Other,,264,91-2006136,2013,Oregon
Other,,264,20-1091645,2013,Wyoming
Wells Fargo,,264,451965,2013,Washington
Other,2.78,263,32158,2013,Washington
Other,,263,339858,2013,Texas
Other,,263,32489,2013,Oregon
Other,,263,26-4599244,2013,Nevada
Other,,263,2149009991,2013,Oregon
Other,,263,471809999,2013,Oregon
Other,,263,471809999,2013,California
Other,,262,47-0376012,2013,Nebraska
Other,,262,656377,2013,Washington
Other,,261,86-0953952,2013,California
Other,,261,471809999,2013,California
Wells Fargo,,261,451965,2013,Colorado
Other,,261,26-1442480,2013,California
Other,,261,617677,2013,California
Other,,261,2149009991,2013,Idaho
Other,,261,471809999,2013,California
Other,,260,32158,2013,Washington
Other,,260,143662,2013,Washington
Other,,260,11570,2013,Colorado
Wells Fargo,,260,451965,2013,California
Other,,260,22-3554558,2013,Washington
Other,,260,22-3554558,2013,Washington
Other,,260,12067,2013,California
Other,,260,471809999,2013,California
Wells Fargo,,260,451965,2013,Oregon
Other,,260,32489,2013,Oregon
Other,,260,471809999,2013,Washington
Other,,260,617677,2013,California
Wells Fargo,,260,451965,2013,California
Other,,260,497404,2013,Florida
Other,,260,580155,2013,Wyoming
Other,,260,2149009991,2013,Washington
Wells Fargo,1.53,259,451965,2013,California
Other,,259,143662,2013,Oregon
Wells Fargo,,259,451965,2013,Washington
Wells Fargo,,259,451965,2013,California
Other,,259,487357,2013,Missouri
Other,,259,6443809990,2013,California
Other,4.58,258,12067,2013,California
Other,,258,84-0849361,2013,Colorado
Wells Fargo,,258,451965,2013,Washington
Other,,258,32489,2013,Washington
Other,,258,7976700006,2013,Nevada
Wells Fargo,,258,451965,2013,Washington
Other,,258,32489,2013,Oregon
Other,,258,471809999,2013,Oregon
Other,,258,471809999,2013,Wyoming
Other,,258,20-1091645,2013,Wyoming
Wells Fargo,,258,451965,2013,California
Wells Fargo,1.61,257,451965,2013,Colorado
Wells Fargo,,257,451965,2013,Washington
Wells Fargo,,257,451965,2013,California
Other,,257,91-1374387,2013,California
Other,,257,2149009991,2013,Oregon
Other,,257,143662,2013,California
Other,3.42,256,20-1091645,2013,North Dakota
